Autor;anyo;Titulo;Pais/Estudios;Efectividad(transmision);Efectividad(Infeccion);Efectividad(Hospitalizacion);Efectividad(Uci);Efectividad(Muerte);Pfizer;Moderna;J&J;Astrazeneca;Sinopharm;Reduccion;Link
Monge;2022;Effectiveness of mRNA vaccine boosters against infection with the SARS-CoV-2 omicron (B.1.1.529) variant in Spain: a nationwide cohort study;Espanya;;51;;;;1;1;1;1;0;0;https://scholar.google.es/scholar_url?url=https://repisalud.isciii.es/bitstream/handle/20.500.12105/14803/Effectiveness_mRNA_VaccineBoosters_2022.pdf%3Fsequence%3D1%26isAllowed%3Dy&hl=en&sa=X&d=11892503544899052030&ei=AIztYq2IKYqMywTK57LgDA&scisig=AAGBfm2yStqGScz6f0ekq5LAKcUf6jFHZQ&oi=scholaralrt&hist=pqZ2R5QAAAAJ:12206123539516873347:AAGBfm3hfondq1XQhs9lwlSoBfRDq2-TOw&html=&pos=0&folt=kw
Horne;2022;Waning effectiveness of BNT162b2 and ChAdOx1 covid-19 vaccines over six months since second dose: OpenSAFELY cohort study using linked electronic health records;Reino Unido;;50;70;80;90;1;0;0;1;0;0;https://www.bmj.com/content/378/bmj-2022-071249.full
Kerr;2022;COVID-19 vaccine effectiveness against symptomatic SARS-CoV-2 infection and severe COVID-19 outcomes from Delta AY.4.2: Cohort and test-negative study of 5.4 million individuals in Scotland ;Reino Unido;;73;;87;87;1;1;0;1;0;0;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9269984/
Tan;2022;Effectiveness of BNT162b2 Vaccine against Omicron in Children 5 to 11 Years of Age;Singapur;;65;82;;;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2203209#figures_media
McMenamin;2022;Vaccine effectiveness of one, two, and three doses of BNT162b2 and CoronaVac against COVID-19 in Hong Kong: a population-based observational study;China;;;97;97;97;1;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S1473309922003450
Mehta;2022;Effectiveness of COVID-19 Booster on the Risk of Hospitalization Among Medicare Beneficiaries;Estados Unidos;;;80;;;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S0025619622003901
Nordstrom;2022;Effectiveness of a fourth dose of mRNA COVID-19 vaccine against all-cause mortality in long-term care facility residents and in the oldest old: A nationwide, retrospective cohort study in Sweden;Suecia;;;;;50;1;1;0;0;0;1;https://www.sciencedirect.com/science/article/pii/S2666776222001624
Berek;2022;Protection provided by vaccination, booster doses and previous infection against covid-19 infection, hospitalisation or death over time in Czechia;Chequia;;70;80;;85;1;1;0;1;0;0;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0270801
Kerr;2022;COVID-19 vaccine effectiveness against symptomatic SARS-CoV-2 infection and severe COVID-19 outcomes from Delta AY.4.2: Cohort and test-negative study of 5.4 million individuals in Scotland ;Reino Unido;;73;87;;87;1;1;0;1;0;0;https://pubmed.ncbi.nlm.nih.gov/35802764/
Grewal;2022;Effectiveness of a fourth dose of covid-19 mRNA vaccine against the omicron variant among long term care residents in Ontario, Canada: test negative design study;Canada;;49;86;86;86;1;1;0;0;0;0;https://www.bmj.com/content/378/bmj-2022-071502.full
Molteni;2022;Post-vaccination infection rates and modification of COVID-19 symptoms in vaccinated UK school-aged children and adolescents: A prospective longitudinal cohort study;Reino Unido;;60;;;;1;0;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S2666776222001235
Rennert;2022;Effectiveness and protection duration of Covid-19 vaccines and previous infection against any SARS-CoV-2 infection in young adults;Estados Unidos;;60;;;;1;1;1;0;0;0;https://www.nature.com/articles/s41467-022-31469-z
McCormick;2022;SARS-CoV-2 infection risk among vaccinated and unvaccinated household members during the Alpha variant surge � Denver, Colorado, and San Diego, California, January�April 2021;Estados Unidos;54;;;;;1;1;1;0;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X22008350
Stelee;2022;Estimated Number of COVID-19 Infections, Hospitalizations, and Deaths Prevented Among Vaccinated Persons in the US, December 2020 to September 2021 ;Estados Unidos;;60;85;90;95;1;1;1;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2793913?utm_source=For_The_Media&utm_medium=referral&utm_campaign=ftm_links&utm_term=070622#figure-table-tab
Tartof;2022;Immunocompromise and durability of BNT162b2 vaccine against severe outcomes due to omicron and delta variants;Estados Unidos;;;84;;;1;0;0;0;0;0;https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(22)00170-9/fulltext
Sobczak;2022;COVID-19 vaccination efficacy in numbers including SARS-CoV-2 variants and age comparison: a meta-analysis of randomized clinical trials;17 estudios;;74;99;;82;1;1;1;1;1;0;https://link.springer.com/article/10.1186/s12941-022-00525-3
Paternina-Caicedo;2022;Effectiveness of CoronaVac and BNT162b2 COVID-19 mass vaccination in Colombia: A population-based cohort study;Colombia;;;33;47;55;1;0;0;0;0;1;https://www.sciencedirect.com/science/article/pii/S2667193X22001132
Plester;2022;Effect of vaccination on household transmission of SARS-CoV-2 Delta variant of concern;Dinamarca;50;;;;;1;1;1;1;0;0;https://www.nature.com/articles/s41467-022-31494-y.pdf?origin=ppub
Sacco;2022;Effectiveness of BNT162b2 vaccine against SARS-CoV-2 infection and severe COVID-19 in children aged 5�11 years in Italy: a retrospective analysis of January�April, 2022;Italia;;29;41;41;41;1;0;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S0140673622011850
Cohen-stavi;2022;BNT162b2 Vaccine Effectiveness against Omicron in Children 5 to 11 Years of Age;Israel;;48;;;;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2205011
Muhsen;2022;Association of BNT162b2 Vaccine Third Dose Receipt With Incidence of SARS-CoV-2 Infection, COVID-19�Related Hospitalization, and Death Among Residents of Long-term Care Facilities, August to October 2021 ;Israel;;90;96;;95;1;0;0;0;0;1;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2793804
Bansal;2022;Duration of COVID-19 mRNA Vaccine Effectiveness against Severe Disease;Qatar;;;;89;;1;1;0;0;0;0;https://www.researchgate.net/profile/Devendra-Bansal/publication/361607212_Duration_of_COVID-19_mRNA_Vaccine_Effectiveness_against_Severe_Disease/links/62bc21e1f9dee438e8cb8622/Duration-of-COVID-19-mRNA-Vaccine-Effectiveness-against-Severe-Disease.pdf
Maeda;2022;Effectiveness of Messenger RNA Coronavirus Disease 2019 Vaccines Against Symptomatic Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infections During the Delta Variant Epidemic in Japan: Vaccine Effectiveness Real-time Surveillance for SARS-CoV-2 (VERSUS) ;Japon;;85;;;;1;1;0;0;0;0;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac292/6570603?login=false
Moline;2022;Effectiveness of COVID-19 mRNA vaccines against infection during an outbreak of SARS-CoV-2 Beta (B.1.351) variant in a skilled nursing facility � Virginia, March-April 2021 ;Estados Unidos;;65;;;;1;0;0;0;0;0;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac526/6618595?login=false
Glatman-Freedman;2022;Vaccine coverage associated with ending a SARS-CoV-2 wave: a retrospective longitudinal analysis. ;Israel;;50;;;;1;0;0;0;0;1;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac524/6619125?login=false
Palinkas;2022;Effectiveness of COVID-19 Vaccination in Preventing All-Cause Mortality among Adults during the Third Wave of the Epidemic in Hungary: Nationwide Retrospective Cohort Study;Hungria;;;;;57;1;1;1;1;1;1;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-01009/article_deploy/vaccines-10-01009.pdf?version=1656043951
Mayr;2022;Comparative COVID-19 Vaccine Effectiveness over Time in Veterans;Estados Unidos;;80;85;90;92;1;1;0;0;0;0;https://academic.oup.com/ofid/advance-article/doi/10.1093/ofid/ofac311/6617574?login=false
